Orenia,Orenia,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Paenibacillus,Paenibacillus,Bergey_page414.pdf_TABLE 73. Discri.csv
Paralactobacillus,Paralactobacillus,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Parasporobacterium,Parasporobacterium,Bergey_page986.pdf_TABLE 177. Diffe.csv
Parvimonas,Parvimonas,Bergey_page997.pdf_TABLE 179. Chara.csv
Pediococcus,Pediococcus,Bergey_page651.pdf_TABLE 121. Major.csv
Pelosinus,Pelosinus,Bergey_page1092._TABLE202.csv
Pelotomaculum,Pelotomaculum,Bergey_page996.pdf_TABLE 178. Chara.csv
Peptococcus,Peptococcus,Bergey_page997.pdf_TABLE 179. Chara.csv
Peptococcus,Peptococcus,Bergey_page996.pdf_TABLE 178. Chara.csv
Peptoniphilus,Peptoniphilus,Bergey_page997.pdf_TABLE 179. Chara.csv
Peptoniphilus,Peptoniphilus,Bergey_page1036.pdf_TABLE_187. Chara.csv
Peptostreptococcus,Peptostreptococcus,Bergey_page997.pdf_TABLE 179. Chara.csv
Peptostreptococcus,Peptostreptococcus,Bergey_page1036.pdf_TABLE_187. Chara.csv
Phascolarctobacterium,Phascolarctobacterium,Bergey_page1127_TABLE212.csv
Pilibacter,Pilibacter,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Planifilum,Planifilum,Bergey_page467.pdf_TABLE 78. Phenot.csv
Planococcus,Planococcus,Bergey_page375.pdf_TABLE 57. Charac-2.csv
Planomicrobiumb,Planomicrobiumb,Bergey_page375.pdf_TABLE 57. Charac-2.csv
Porphyromonas,Porphyromonas,Bergey_page1117_TABLE209.csv
Prevotella,Prevotella,Bergey_page1117_TABLE209.csv
Propionibacterium,Propionibacterium,Bergey_page1339_TABLE258.csv
Propionispora,Propionispora,Bergey_page1092._TABLE202.csv
Pseudoramibacter,Pseudoramibacter,Bergey_page930_table159.csv
Ruminococcus,Ruminococcus,Bergey_page1051.pdf_TABLE 193.csv
Ruminococcus,Ruminococcusc,Bergey_page1066.pdfTABLE 199.csv
Sedimentibacter,Sedimentibacter,Bergey_page1036.pdf_TABLE_187. Chara.csv
Seinonella,Seinonella,Bergey_page467.pdf_TABLE 78. Phenot.csv
Selenihalanaerobacter,Selenihalanaerobacter,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Selenomonas,Selenomonas,Bergey_page1117_TABLE209.csv
Shimazuella,Shimazuella,Bergey_page467.pdf_TABLE 78. Phenot.csv
Solobacterium,Solobacterium,Bergey_page1339_TABLE258.csv
Sporanaerobacter,Sporanaerobacter,Bergey_page1036.pdf_TABLE_187. Chara.csv
Sporobacter,Sporobacter,Bergey_page986.pdf_TABLE 177. Diffe.csv
Sporobacterium,Sporobacterium,Bergey_page986.pdf_TABLE 177. Diffe.csv
Sporohalobacter,Sporohalobacter,Bergey_page1219.pdf_TABLE 235.TABLE 236..csv
Sporolactobacillus,Sporolactobacillus,Bergey_page162.pdf_TABLE 12. Distin.csv
Sporolactobacillus,Sporolactobacillus,Bergey_page414.pdf_TABLE 73. Discri.csv
Sporomaculum,Sporomaculum,Bergey_page996.pdf_TABLE 178. Chara.csv
Sporosarcina,Sporosarcina,Bergey_page375.pdf_TABLE 57. Charac-2.csv
Sporosarcina,Sporosarcina,Bergey_page414.pdf_TABLE 73. Discri.csv
Sporotalea,Sporotalea,Bergey_page1092._TABLE202.csv
Sporotomaculum,Sporotomaculum,Bergey_page986.pdf_TABLE 177. Diffe.csv
Subdoligranulum,Subdoligranulum,Bergey_page1051.pdf_TABLE 193.csv
Subdoligranulum,Subdoligranulum,Bergey_page1066.pdfTABLE 199.csv
Succiniclasticum,Succiniclasticum,Bergey_page1127_TABLE212.csv
Succinispira,Succinispira,Bergey_page1127_TABLE212.csv
Synergistes,Synergistes,Bergey_page1197.pdf_TABLE 228. Diffe.csv
Syntrophobotulus,Syntrophobotulus,Bergey_page996.pdf_TABLE 178. Chara.csv
Tepidibacter,Tepidibacter,Bergey_page1036.pdf_TABLE_187. Chara.csv
Thermanaeromonas,Thermanaeromonas,Bergey_page1284.pdf_TABLE 248.csv
Thermincola,Thermincola,Bergey_page996.pdf_TABLE 178. Chara.csv
Thermoactinomyces,Thermoactinomyces,Bergey_page467.pdf_TABLE 78. Phenot.csv
Thermoanaerobacter,Thermoanaerobacter,Bergey_page1284.pdf_TABLE 248.csv
Thermoanaerobacter,Thermoanaerobacter,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Thermoanaerobacterium,Thermoanaerobacterium,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Thermoanaerovibrio,Thermoanaerovibrio,Bergey_page1197.pdf_TABLE 228. Diffe.csv
Thermoflavimicrobium,Thermoflavimicrobium,Bergey_page467.pdf_TABLE 78. Phenot.csv
Thermosipho,Thermosipho,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Thermotoga,Thermotoga,Bergey_page1299.pdf_TABLE 251. Diffe-1.csv
Thermovenabulum,Thermovenabulum,Bergey_page1284.pdf_TABLE 248.csv
Tindallia,Tindallia,Bergey_page162.pdf_TABLE 12. Distin.csv
Tindallia,Tissierella,Bergey_page1036.pdf_TABLE_187. Chara.csv
Veillonella,Veillonella,Bergey_page1097.pdf_TABLE 204. Chara-2.csv
Veillonella,Veillonella,Bergey_page1115.pdf_TABLE 208. Chara.csv
Weissella,Weissella,Bergey_page651.pdf_TABLE 121. Major.csv
Weissella,Weissellae,Bergey_page538.pdf_TABLE 87. Differ-1.csv
Bacillus,Bacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Halolactibacillus,Halolactibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Lentibacillus,Lentibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Marinococcus,Marinococcus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Oceanobacillus,Oceanobacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Paraliobacillus,Paraliobacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Pontibacillus,Pontibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Saccharococcus,Saccharococcus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Tenuibacillus,Tenuibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Thalassobacillus,Thalassobacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Virgibacillus,Virgibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Alkalibacllus,Alkalibacllus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Amphibacillus,Amphibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Anoxybacillus,Anoxybacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Cerasibacillus,Cerasibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Filobacillus,Filobacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Geobacillus,Geobacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Gracilibacillus,Gracilibacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
Halobacillus,Halobacillus,Bergey_page48.pdf_TABLE 1. Phenoty.csv
